"ID","Type","Status","Priority","Milestone","Owner","Summary","AllLabels"
"1","Defect","Fixed","Low","","truongmh60003","[TimeSheetPortlet] Import is never used","Priority-Low, Type-Defect"
"2","Defect","Accepted","Critical","","truongmh60003","[TimeSheetPortlet] Missing important features","Component-Logic, Priority-Critical, Type-Defect, Usability"
"3","Defect","New","High","","thachln","[TimeSheetPortlet] Not re-use the logon user of the portal","Component-Logic, Priority-High, Type-Defect"
"4","Defect","Fixed","Low","","tocongthanhhai","[ProjectEyePortlet]  Java build path of project is configured not well","Priority-Low, Type-Defect"
"5","Defect","New","High","","tocongthanhhai","[ProjectEyePortlet] Done re-use DAO layer in DaoCommon","Maintainability, Priority-High, Type-Defect, Usability"
"6","Defect","Fixed","Low","","tocongthanhhai","[ProjectEyePortlet] Output file of Log4j is configured not good","Priority-Low, Type-Defect"
"7","Defect","Fixed","Medium","","tocongthanhhai","[ProjectEyePortlet] There is no use CSS of uPortal","Priority-Medium, Type-Defect"
"8","Defect","Fixed","Low","","tocongthanhhai","[ProjectEyePortlet]  Could not make distribution by ANT tool","Priority-Low, Type-Defect"
"9","Defect","Fixed","Medium","","tocongthanhhai","[ProjectEyePortlet]  Unnecessary folder in SVN","Priority-Medium, Type-Defect"
"10","Defect","Fixed","Medium","","tocongthanhhai","[ProjectEyePortlet]  Unclear error message","Priority-Medium, Type-Defect"
"11","Defect","Invalid","Medium","","tocongthanhhai","[ProjectEyePortlet] Encapsulate properties of Project into a object ","Component-Logic, Priority-Medium, Type-Defect"
"12","Defect","Fixed","High","","tocongthanhhai","[ProjectEyePortlet] No data validation and display error in Create project screen","Component-Logic, Component-UI, Priority-High, Type-Defect"
"13","Defect","New","Medium","","tocongthanhhai","[ProjectEyePortlet] Error when logon user has not existed in database","Component-Logic, Priority-Medium, Type-Defect"
"14","Defect","Fixed","Low","","giang.phamnguyen","[Planner] Could not make distribution","Priority-Low, Type-Defect"
"15","Defect","Fixed","Medium","","giang.phamnguyen","[Planner] Java build path of project is configured not well","Priority-Medium, RepeatDefect, Type-Defect"
"16","Defect","Fixed","Low","","giang.phamnguyen","[Planner] Project name/Project folder is not true","Priority-Low, Type-Defect"
"17","Defect","Fixed","Medium","","giang.phamnguyen","[Planner] Home page of the Planner Portlet is not good","Component-UI, Priority-Medium, Type-Defect"
"18","Defect","Fixed","Medium","","giang.phamnguyen","[Planner] Unclear error message","Priority-Medium, Type-Defect"
"19","Defect","Fixed","Critical","","duynd.vn","[RequirementPortlet] Add button doesnot work properly","Priority-Critical, Type-Defect"
"20","Defect","Fixed","Medium","","duynd.vn","[RequirementPortlet] Have not apply validation","Priority-Medium, Type-Defect"
"21","Defect","Fixed","Medium","","duynd.vn","[RequirementPortlet] CSS problem","Priority-Medium, Type-Defect"
"22","Defect","Fixed","Low","","duynd.vn","[RequirementPortlet] There are still test button, for test purpose","Priority-Low, Type-Defect"
"23","Defect","Fixed","Medium","","tocongthanhhai","[ProjectEyePortlet] Have not validate create project","Priority-Medium, Type-Defect"
"24","Defect","Accepted","High","","duynd.vn","[RequirementPortlet] Have not use Daocommon","Priority-High, Type-Defect"
"25","Defect","Fixed","Medium","","tocongthanhhai","[ProjectEyePortlet] Unable to update project detail","Priority-Medium, Type-Defect"
"26","Defect","Fixed","High","","duynd.vn","[RequirementPortlet] Init screen is not right","Priority-High, Type-Defect"
"27","Defect","Fixed","Medium","","giang.phamnguyen","[Planner] Do not reuse table Tasks of FMS ","Component-Logic, Priority-Medium, Type-Defect"
